,Airline_Fares_CPI,Brent_Oil,USD_EUR,log_Airline_Fares_CPI,log_Brent_Oil,log_USD_EUR
2017-09-01,268.659,55.55761904761905,1.1913,5.593442917451211,4.017420663253336,0.17504514782317845
2017-10-01,268.229,57.53636363636364,1.1755,5.591841093264629,4.052417158982889,0.16169358899798714
2017-11-01,266.421,62.83636363636364,1.1743,5.585077764388234,4.140533944691476,0.16067222538889833
2017-12-01,267.054,64.06428571428572,1.1836,5.587450885142054,4.159887043508699,0.16856064154391753
2018-01-01,266.194,68.88913043478261,1.2197,5.5842253662629675,4.232498407008132,0.19860492686705555
2018-02-01,266.402,65.6965,1.234,5.58500644614556,4.185045651621005,0.21026092548319605
2018-03-01,268.183,66.89181818181818,1.2334,5.591669583305446,4.203076660429584,0.20977458357525544
2018-04-01,266.465,71.93285714285715,1.227,5.585242902898535,4.275733144247875,0.20457216572877446
2018-05-01,264.022,76.93434782608696,1.1823,5.5760324330076205,4.342952432526469,0.16746169388693055
2018-06-01,263.344,75.80285714285714,1.1679,5.5734611623017125,4.328135985115491,0.15520726430238263
2018-07-01,263.786,75.22909090909091,1.1685,5.575138168366965,4.320538003345067,0.15572087499677567
2018-08-01,265.241,73.85130434782609,1.1547,5.580638846663971,4.302053670944991,0.14384056997567313
2018-09-01,266.203,79.163,1.1667,5.584259175619522,4.371509017944503,0.1541792508476743
2018-10-01,263.608,80.78347826086957,1.1488,5.5744631511814875,4.391772467649348,0.13871791931182273
2018-11-01,261.615,66.22863636363635,1.1364,5.566873957388742,4.193112942878859,0.12786537099789588
2018-12-01,259.347,57.94809523809524,1.138,5.558166933350518,4.059547700187671,0.1292723357041391
2019-01-01,261.858,59.94478260869565,1.1418,5.567802372101457,4.093423848640332,0.1326059645480217
2019-02-01,264.965,64.384,1.1349,5.579597741791791,4.164865155037219,0.1265445413249562
2019-03-01,262.909,66.94190476190477,1.1296,5.571807964698759,4.20382515014239,0.12186358775684052
2019-04-01,260.115,71.47590909090908,1.1234,5.561123840918622,4.269360457132863,0.11635980111619525
2019-05-01,261.933,70.38913043478261,1.1187,5.568088745866995,4.254038854010315,0.11216729687074778
2019-06-01,262.483,63.2085,1.1295,5.570186318029774,4.1464387857802345,0.12177505692592086
2019-07-01,264.084,64.32217391304349,1.1211,5.576267234355398,4.163904422698866,0.11431034617741084
2019-08-01,268.749,59.61818181818182,1.1129,5.593777858504717,4.087960591612178,0.10696922099724239
2019-09-01,272.014,62.43095238095238,1.1011,5.6058535355596675,4.134061184138335,0.09630968013740836
2019-10-01,271.125,59.63130434782609,1.1058,5.602579969147039,4.088180676916008,0.10056905492169545
2019-11-01,268.352,62.68666666666667,1.1051,5.592299551548297,4.138148772180821,0.09993582861259946
2019-12-01,267.214,65.34818181818181,1.1114,5.588049835499491,4.179729617467147,0.10562048186368378
2020-01-01,268.668,63.89869565217391,1.1098,5.593476416605361,4.157298948846108,0.10417981890966373
